================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.8124
Std Accuracy: 0.1416
Time Mean: 4.5440 seconds
Time Std: 1.5540 seconds

================================================================================

Detailed Training Logs:
================================================================================

|          |      2  |      2.3535  |     0.2490  |   0.1649  |               |              1.2694  |
|          |      3  |      2.2129  |     0.1621  |   0.2225  |               |              1.6712  |
|          |      4  |      2.2988  |     0.1035  |   0.0998  |               |              2.0773  |
|          |      5  |      2.0000  |     0.3730  |   0.3529  |               |              2.4959  |
|          |      6  |      1.4209  |     0.6924  |   0.6528  |               |              2.8995  |
|          |      7  |      1.2373  |     0.8154  |   0.6487  |               |              3.2958  |
|          |      8  |      1.1709  |     0.8447  |   0.7629  |               |              3.6937  |
|          |      9  |      1.0889  |     0.8857  |   0.8828  |               |              4.0673  |
|          |   eval  |      1.0889  |     0.8857  |   0.8828  |       0.8893  |              4.2385  |
------------------------------------------------------------------------------------------------------

|      10  |      0  |      1.3945  |     0.7285  |   0.5402  |               |              0.4218  |
|          |      1  |      1.3955  |     0.7256  |   0.5143  |               |              0.8515  |
|          |      2  |      1.9990  |     0.5391  |   0.3495  |               |              1.2782  |
|          |      3  |      2.3008  |     0.0908  |   0.1283  |               |              1.6861  |
|          |      4  |      2.1602  |     0.2383  |   0.2364  |               |              2.0911  |
|          |      5  |      2.1055  |     0.2559  |   0.2508  |               |              2.4948  |
|          |      6  |      1.6758  |     0.5342  |   0.3774  |               |              2.9002  |
|          |      7  |      1.3369  |     0.7500  |   0.7222  |               |              3.3056  |
|          |      8  |      1.1865  |     0.8213  |   0.8083  |               |              3.7047  |
|          |      9  |      1.0869  |     0.8936  |   0.8754  |               |              4.0767  |
|          |   eval  |      1.0869  |     0.8936  |   0.8754  |       0.8821  |              4.2494  |
------------------------------------------------------------------------------------------------------

|      11  |      0  |      1.4043  |     0.7031  |   0.4771  |               |              0.4222  |
|          |      1  |      1.5400  |     0.6533  |   0.2447  |               |              0.8507  |
|          |      2  |      2.3027  |     0.0947  |   0.1002  |               |              1.2702  |
|          |      3  |      2.3027  |     0.0908  |   0.1139  |               |              1.6684  |
|          |      4  |      2.2988  |     0.1240  |   0.1001  |               |              2.0697  |
|          |      5  |      2.3027  |     0.1064  |   0.1000  |               |              2.4713  |
|          |      6  |      2.2266  |     0.1836  |   0.1614  |               |              2.8673  |
|          |      7  |      2.1914  |     0.1572  |   0.1000  |               |              3.2680  |
|          |      8  |      2.0566  |     0.2021  |   0.2119  |               |              3.6733  |
|          |      9  |      2.0098  |     0.2266  |   0.2566  |               |              4.0391  |
|          |   eval  |      2.0098  |     0.2266  |   0.2566  |       0.2559  |              4.2103  |
------------------------------------------------------------------------------------------------------

|      12  |      0  |      1.4131  |     0.7188  |   0.4382  |               |              0.4221  |
|          |      1  |      1.3574  |     0.7637  |   0.3542  |               |              0.8501  |
|          |      2  |      1.7256  |     0.5820  |   0.3852  |               |              1.2847  |
|          |      3  |      2.3008  |     0.1328  |   0.1469  |               |              1.6690  |
|          |      4  |      2.3008  |     0.0986  |   0.1295  |               |              2.0664  |
|          |      5  |      2.2949  |     0.1025  |   0.0917  |               |              2.4737  |
|          |      6  |      1.8965  |     0.4307  |   0.3978  |               |              2.8829  |
|          |      7  |      1.2744  |     0.7988  |   0.7233  |               |              3.3177  |
|          |      8  |      1.1504  |     0.8594  |   0.8161  |               |              3.7191  |
|          |      9  |      1.0840  |     0.8916  |   0.8774  |               |              4.0896  |
|          |   eval  |      1.0840  |     0.8916  |   0.8774  |       0.8852  |              4.2619  |
------------------------------------------------------------------------------------------------------

|      13  |      0  |      1.4609  |     0.6729  |   0.4987  |               |              0.4291  |
|          |      1  |      1.6758  |     0.5986  |   0.2056  |               |              0.8585  |
|          |      2  |      2.3027  |     0.1025  |   0.1009  |               |              1.2929  |
|          |      3  |      2.3516  |     0.0850  |   0.1000  |               |              1.6922  |
|          |      4  |      2.2031  |     0.1982  |   0.1143  |               |              2.1088  |
|          |      5  |      2.1562  |     0.1416  |   0.1084  |               |              2.5100  |
|          |      6  |      1.7959  |     0.4639  |   0.3369  |               |              2.9124  |
|          |      7  |      1.4736  |     0.6719  |   0.4925  |               |              3.3209  |
|          |      8  |      1.2500  |     0.8057  |   0.7080  |               |              3.7230  |
|          |      9  |      1.1963  |     0.8418  |   0.8200  |               |              4.0947  |
|          |   eval  |      1.1963  |     0.8418  |   0.8200  |       0.8261  |              4.2674  |
------------------------------------------------------------------------------------------------------

|      14  |      0  |      1.4199  |     0.7080  |   0.5803  |               |              0.4228  |
|          |      1  |      1.3877  |     0.7314  |   0.5253  |               |              0.8461  |
|          |      2  |      1.9453  |     0.4189  |   0.2524  |               |              1.2747  |
|          |      3  |      2.1699  |     0.3887  |   0.2402  |               |              1.6805  |
|          |      4  |      2.1680  |     0.2236  |   0.2716  |               |              2.0819  |
|          |      5  |      1.8652  |     0.4092  |   0.3409  |               |              2.4857  |
|          |      6  |      1.6064  |     0.5674  |   0.4828  |               |              2.8966  |
|          |      7  |      1.2998  |     0.7734  |   0.5029  |               |              3.3036  |
|          |      8  |      1.1875  |     0.8320  |   0.7625  |               |              3.7105  |
|          |      9  |      1.0869  |     0.8906  |   0.8674  |               |              4.0829  |
|          |   eval  |      1.0869  |     0.8906  |   0.8674  |       0.8746  |              4.2558  |
------------------------------------------------------------------------------------------------------

|      15  |      0  |      1.4492  |     0.6807  |   0.5841  |               |              0.4235  |
|          |      1  |      1.5820  |     0.6543  |   0.4521  |               |              0.8527  |
|          |      2  |      2.1250  |     0.3027  |   0.1022  |               |              1.2766  |
|          |      3  |      2.3008  |     0.1162  |   0.1176  |               |              1.6800  |
|          |      4  |      2.1992  |     0.3213  |   0.1085  |               |              2.0834  |
|          |      5  |      1.7988  |     0.4668  |   0.3235  |               |              2.4895  |
|          |      6  |      1.4297  |     0.7100  |   0.5819  |               |              2.8852  |
|          |      7  |      1.2178  |     0.8135  |   0.7410  |               |              3.2856  |
|          |      8  |      1.1191  |     0.8711  |   0.8386  |               |              3.6927  |
