================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 5.75

Summary Results:
Mean Accuracy: 0.9128
Std Accuracy: 0.0019
Time Mean: 4.8391 seconds
Time Std: 1.8197 seconds

================================================================================

Detailed Training Logs:
================================================================================


|       6  |      0  |      1.6895  |     0.6025  |   0.6013  |               |              0.5153  |
|          |      1  |      1.3164  |     0.7861  |   0.7608  |               |              0.9902  |
|          |      2  |      1.2393  |     0.8145  |   0.7800  |               |              1.5264  |
|          |      3  |      1.1562  |     0.8672  |   0.8455  |               |              2.0050  |
|          |      4  |      1.1172  |     0.8896  |   0.8647  |               |              2.4811  |
|          |      5  |      1.0889  |     0.9033  |   0.8757  |               |              2.9639  |
|          |      6  |      1.0527  |     0.9258  |   0.8931  |               |              3.4459  |
|          |      7  |      1.0361  |     0.9395  |   0.8951  |               |              3.9244  |
|          |      8  |      1.0000  |     0.9512  |   0.9041  |               |              4.3355  |
|          |   eval  |      1.0000  |     0.9512  |   0.9041  |       0.9119  |              4.4991  |
------------------------------------------------------------------------------------------------------

|       7  |      0  |      1.6758  |     0.6064  |   0.6187  |               |              0.4828  |
|          |      1  |      1.3369  |     0.7471  |   0.6656  |               |              0.9549  |
|          |      2  |      1.2305  |     0.8174  |   0.7696  |               |              1.4766  |
|          |      3  |      1.1680  |     0.8643  |   0.8202  |               |              1.9402  |
|          |      4  |      1.1123  |     0.8916  |   0.8542  |               |              2.3889  |
|          |      5  |      1.0811  |     0.9121  |   0.8785  |               |              2.8433  |
|          |      6  |      1.0635  |     0.9258  |   0.8922  |               |              3.2945  |
|          |      7  |      1.0391  |     0.9346  |   0.8940  |               |              3.7491  |
|          |      8  |      1.0166  |     0.9424  |   0.9046  |               |              4.1390  |
|          |   eval  |      1.0166  |     0.9424  |   0.9046  |       0.9145  |              4.3023  |
------------------------------------------------------------------------------------------------------

|       8  |      0  |      1.6777  |     0.6260  |   0.6120  |               |              0.4583  |
|          |      1  |      1.3633  |     0.7393  |   0.6747  |               |              0.9289  |
|          |      2  |      1.2021  |     0.8486  |   0.7802  |               |              1.4489  |
|          |      3  |      1.1641  |     0.8652  |   0.8381  |               |              1.9309  |
|          |      4  |      1.0889  |     0.9121  |   0.8608  |               |              2.3794  |
|          |      5  |      1.0996  |     0.8984  |   0.8724  |               |              2.8114  |
|          |      6  |      1.0508  |     0.9258  |   0.8953  |               |              3.3042  |
|          |      7  |      1.0391  |     0.9336  |   0.8949  |               |              3.7823  |
|          |      8  |      1.0088  |     0.9541  |   0.9031  |               |              4.2445  |
|          |   eval  |      1.0088  |     0.9541  |   0.9031  |       0.9119  |              4.4091  |
------------------------------------------------------------------------------------------------------

|       9  |      0  |      1.6895  |     0.5830  |   0.5878  |               |              0.5167  |
|          |      1  |      1.3223  |     0.7686  |   0.6940  |               |              1.0357  |
|          |      2  |      1.2100  |     0.8291  |   0.8001  |               |              1.5552  |
|          |      3  |      1.1523  |     0.8672  |   0.8193  |               |              2.0336  |
|          |      4  |      1.1055  |     0.8867  |   0.8648  |               |              2.5247  |
|          |      5  |      1.0820  |     0.9082  |   0.8759  |               |              2.9918  |
|          |      6  |      1.0312  |     0.9414  |   0.8804  |               |              3.4845  |
|          |      7  |      1.0234  |     0.9385  |   0.8946  |               |              3.9653  |
|          |      8  |      1.0176  |     0.9473  |   0.9055  |               |              4.4357  |
|          |   eval  |      1.0176  |     0.9473  |   0.9055  |       0.9143  |              4.5990  |
