================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.9216
Std Accuracy: 0.0075
Time Mean: 4.8801 seconds
Time Std: 1.9078 seconds

================================================================================

Detailed Training Logs:
================================================================================

|          |      2  |      1.2910  |     0.7812  |   0.3675  |               |              1.5105  |
|          |      3  |      1.2070  |     0.8369  |   0.7165  |               |              1.9951  |
|          |      4  |      1.1670  |     0.8633  |   0.7584  |               |              2.4663  |
|          |      5  |      1.0977  |     0.8984  |   0.7621  |               |              2.9326  |
|          |      6  |      1.0596  |     0.9189  |   0.8511  |               |              3.3943  |
|          |      7  |      1.0596  |     0.9111  |   0.8102  |               |              3.8590  |
|          |      8  |      0.9961  |     0.9434  |   0.8994  |               |              4.3154  |
|          |      9  |      0.9585  |     0.9688  |   0.9293  |               |              4.7333  |
|          |   eval  |      0.9585  |     0.9688  |   0.9293  |       0.9362  |              4.8963  |
------------------------------------------------------------------------------------------------------

|       7  |      0  |      1.3926  |     0.7383  |   0.5893  |               |              0.4935  |
|          |      1  |      1.3906  |     0.7383  |   0.6046  |               |              0.9918  |
|          |      2  |      1.2471  |     0.8193  |   0.6523  |               |              1.4905  |
|          |      3  |      1.2266  |     0.8320  |   0.5273  |               |              1.9482  |
|          |      4  |      1.1943  |     0.8457  |   0.6769  |               |              2.4094  |
|          |      5  |      1.1494  |     0.8770  |   0.7583  |               |              2.8884  |
|          |      6  |      1.0703  |     0.9082  |   0.7215  |               |              3.3484  |
|          |      7  |      1.0332  |     0.9248  |   0.7966  |               |              3.7558  |
|          |      8  |      0.9883  |     0.9521  |   0.9089  |               |              4.1509  |
|          |   eval  |      0.9883  |     0.9521  |   0.9089  |       0.9187  |              4.3171  |
------------------------------------------------------------------------------------------------------

|       8  |      0  |      1.4199  |     0.7100  |   0.6347  |               |              0.4753  |
|          |      1  |      1.3486  |     0.7510  |   0.2674  |               |              0.9843  |
|          |      2  |      1.2686  |     0.8125  |   0.6058  |               |              1.4884  |
|          |      3  |      1.2051  |     0.8291  |   0.6248  |               |              1.9037  |
|          |      4  |      1.1553  |     0.8574  |   0.6728  |               |              2.3626  |
|          |      5  |      1.1475  |     0.8584  |   0.8391  |               |              2.8280  |
|          |      6  |      1.0615  |     0.9150  |   0.8556  |               |              3.2957  |
|          |      7  |      1.0596  |     0.9121  |   0.8434  |               |              3.7656  |
|          |      8  |      0.9917  |     0.9492  |   0.9121  |               |              4.2363  |
|          |   eval  |      0.9917  |     0.9492  |   0.9121  |       0.9188  |              4.4010  |
------------------------------------------------------------------------------------------------------

|       9  |      0  |      1.3848  |     0.7295  |   0.5374  |               |              0.4837  |
|          |      1  |      1.5000  |     0.6953  |   0.4759  |               |              0.9712  |
|          |      2  |      1.3232  |     0.7725  |   0.3954  |               |              1.4900  |
|          |      3  |      1.1953  |     0.8457  |   0.5252  |               |              1.9579  |
|          |      4  |      1.1562  |     0.8525  |   0.7490  |               |              2.4208  |
|          |      5  |      1.1143  |     0.8809  |   0.8038  |               |              2.8701  |
|          |      6  |      1.0596  |     0.9053  |   0.8515  |               |              3.3311  |
|          |      7  |      1.0381  |     0.9209  |   0.8849  |               |              3.7924  |
|          |      8  |      0.9932  |     0.9492  |   0.9089  |               |              4.2399  |
|          |   eval  |      0.9932  |     0.9492  |   0.9089  |       0.9185  |              4.4045  |
------------------------------------------------------------------------------------------------------

|      10  |      0  |      1.4199  |     0.7031  |   0.5586  |               |              0.4676  |
|          |      1  |      1.3701  |     0.7471  |   0.4666  |               |              0.9797  |
|          |      2  |      1.3145  |     0.7705  |   0.5547  |               |              1.4844  |
|          |      3  |      1.2676  |     0.8037  |   0.5859  |               |              1.9427  |
|          |      4  |      1.1865  |     0.8438  |   0.3613  |               |              2.4033  |
|          |      5  |      1.1201  |     0.8896  |   0.7808  |               |              2.8731  |
|          |      6  |      1.0762  |     0.9082  |   0.8010  |               |              3.3431  |
|          |      7  |      1.0576  |     0.9102  |   0.8563  |               |              3.8007  |
|          |      8  |      0.9956  |     0.9482  |   0.8962  |               |              4.2611  |
|          |      9  |      0.9648  |     0.9658  |   0.9285  |               |              4.6798  |
